Title,Location,Description,nTile10,nTile25,nTile50,nTile75,nTile90
DevOps Engineer I,"New York, NY","DevOps Engineer I design, build and maintain a stable and efficient infrastructure to optimize service delivery across production, QA, and development environments throughout the development lifecycle. Monitor, troubleshoot, maintain, and continuously improve building, packaging, and deployment processes. Being a DevOps Engineer I implement automated infrastructure capabilities like backups, security tools, monitoring. Utilize a consistent DevOps approach to improve all phases of the process and ensure end-to-end quality across functions. Additionally, DevOps Engineer I knowledge of deployment/configuration management tools like Jenkins, Maven, Puppet, or Ansible. Utilizes version control tools like GIT, Bitbucket, SVN, or CVS. Experienced with network infrastructure, database, cloud and data center operations, and security protocols. Strong knowledge of Linux and/or Windows OS. Understands AWS and other services. Experience with programming and scripting with languages like Python, Perl, Bash, PHP, Java, SQL, or C++. Typically reports to a manager or head of a unit/department. Typically requires a bachelor&#39;s degree. The DevOps Engineer I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a DevOps Engineer I typically requires 0-2 years of related experience.",62152,74057,87133,100257,112205
DevOps Engineer I,"Los Angeles, CA","DevOps Engineer I design, build and maintain a stable and efficient infrastructure to optimize service delivery across production, QA, and development environments throughout the development lifecycle. Monitor, troubleshoot, maintain, and continuously improve building, packaging, and deployment processes. Being a DevOps Engineer I implement automated infrastructure capabilities like backups, security tools, monitoring. Utilize a consistent DevOps approach to improve all phases of the process and ensure end-to-end quality across functions. Additionally, DevOps Engineer I knowledge of deployment/configuration management tools like Jenkins, Maven, Puppet, or Ansible. Utilizes version control tools like GIT, Bitbucket, SVN, or CVS. Experienced with network infrastructure, database, cloud and data center operations, and security protocols. Strong knowledge of Linux and/or Windows OS. Understands AWS and other services. Experience with programming and scripting with languages like Python, Perl, Bash, PHP, Java, SQL, or C++. Typically reports to a manager or head of a unit/department. Typically requires a bachelor&#39;s degree. The DevOps Engineer I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a DevOps Engineer I typically requires 0-2 years of related experience.",58431,69624,81917,94255,105487
DevOps Engineer I,"Chicago, IL","DevOps Engineer I design, build and maintain a stable and efficient infrastructure to optimize service delivery across production, QA, and development environments throughout the development lifecycle. Monitor, troubleshoot, maintain, and continuously improve building, packaging, and deployment processes. Being a DevOps Engineer I implement automated infrastructure capabilities like backups, security tools, monitoring. Utilize a consistent DevOps approach to improve all phases of the process and ensure end-to-end quality across functions. Additionally, DevOps Engineer I knowledge of deployment/configuration management tools like Jenkins, Maven, Puppet, or Ansible. Utilizes version control tools like GIT, Bitbucket, SVN, or CVS. Experienced with network infrastructure, database, cloud and data center operations, and security protocols. Strong knowledge of Linux and/or Windows OS. Understands AWS and other services. Experience with programming and scripting with languages like Python, Perl, Bash, PHP, Java, SQL, or C++. Typically reports to a manager or head of a unit/department. Typically requires a bachelor&#39;s degree. The DevOps Engineer I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a DevOps Engineer I typically requires 0-2 years of related experience.",54810,65309,76840,88413,98950
DevOps Engineer I,"Houston, TX","DevOps Engineer I design, build and maintain a stable and efficient infrastructure to optimize service delivery across production, QA, and development environments throughout the development lifecycle. Monitor, troubleshoot, maintain, and continuously improve building, packaging, and deployment processes. Being a DevOps Engineer I implement automated infrastructure capabilities like backups, security tools, monitoring. Utilize a consistent DevOps approach to improve all phases of the process and ensure end-to-end quality across functions. Additionally, DevOps Engineer I knowledge of deployment/configuration management tools like Jenkins, Maven, Puppet, or Ansible. Utilizes version control tools like GIT, Bitbucket, SVN, or CVS. Experienced with network infrastructure, database, cloud and data center operations, and security protocols. Strong knowledge of Linux and/or Windows OS. Understands AWS and other services. Experience with programming and scripting with languages like Python, Perl, Bash, PHP, Java, SQL, or C++. Typically reports to a manager or head of a unit/department. Typically requires a bachelor&#39;s degree. The DevOps Engineer I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a DevOps Engineer I typically requires 0-2 years of related experience.",52956,63100,74241,85422,95603
DevOps Engineer I,"Phoenix, AZ","DevOps Engineer I design, build and maintain a stable and efficient infrastructure to optimize service delivery across production, QA, and development environments throughout the development lifecycle. Monitor, troubleshoot, maintain, and continuously improve building, packaging, and deployment processes. Being a DevOps Engineer I implement automated infrastructure capabilities like backups, security tools, monitoring. Utilize a consistent DevOps approach to improve all phases of the process and ensure end-to-end quality across functions. Additionally, DevOps Engineer I knowledge of deployment/configuration management tools like Jenkins, Maven, Puppet, or Ansible. Utilizes version control tools like GIT, Bitbucket, SVN, or CVS. Experienced with network infrastructure, database, cloud and data center operations, and security protocols. Strong knowledge of Linux and/or Windows OS. Understands AWS and other services. Experience with programming and scripting with languages like Python, Perl, Bash, PHP, Java, SQL, or C++. Typically reports to a manager or head of a unit/department. Typically requires a bachelor&#39;s degree. The DevOps Engineer I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a DevOps Engineer I typically requires 0-2 years of related experience.",51037,60813,71550,82326,92138
DevOps Engineer I,"Philadelphia, PA","DevOps Engineer I design, build and maintain a stable and efficient infrastructure to optimize service delivery across production, QA, and development environments throughout the development lifecycle. Monitor, troubleshoot, maintain, and continuously improve building, packaging, and deployment processes. Being a DevOps Engineer I implement automated infrastructure capabilities like backups, security tools, monitoring. Utilize a consistent DevOps approach to improve all phases of the process and ensure end-to-end quality across functions. Additionally, DevOps Engineer I knowledge of deployment/configuration management tools like Jenkins, Maven, Puppet, or Ansible. Utilizes version control tools like GIT, Bitbucket, SVN, or CVS. Experienced with network infrastructure, database, cloud and data center operations, and security protocols. Strong knowledge of Linux and/or Windows OS. Understands AWS and other services. Experience with programming and scripting with languages like Python, Perl, Bash, PHP, Java, SQL, or C++. Typically reports to a manager or head of a unit/department. Typically requires a bachelor&#39;s degree. The DevOps Engineer I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a DevOps Engineer I typically requires 0-2 years of related experience.",55343,65944,77587,89273,99912
DevOps Engineer I,"San Antonio, TX","DevOps Engineer I design, build and maintain a stable and efficient infrastructure to optimize service delivery across production, QA, and development environments throughout the development lifecycle. Monitor, troubleshoot, maintain, and continuously improve building, packaging, and deployment processes. Being a DevOps Engineer I implement automated infrastructure capabilities like backups, security tools, monitoring. Utilize a consistent DevOps approach to improve all phases of the process and ensure end-to-end quality across functions. Additionally, DevOps Engineer I knowledge of deployment/configuration management tools like Jenkins, Maven, Puppet, or Ansible. Utilizes version control tools like GIT, Bitbucket, SVN, or CVS. Experienced with network infrastructure, database, cloud and data center operations, and security protocols. Strong knowledge of Linux and/or Windows OS. Understands AWS and other services. Experience with programming and scripting with languages like Python, Perl, Bash, PHP, Java, SQL, or C++. Typically reports to a manager or head of a unit/department. Typically requires a bachelor&#39;s degree. The DevOps Engineer I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a DevOps Engineer I typically requires 0-2 years of related experience.",50238,59861,70431,81039,90696
DevOps Engineer I,"San Diego, CA","DevOps Engineer I design, build and maintain a stable and efficient infrastructure to optimize service delivery across production, QA, and development environments throughout the development lifecycle. Monitor, troubleshoot, maintain, and continuously improve building, packaging, and deployment processes. Being a DevOps Engineer I implement automated infrastructure capabilities like backups, security tools, monitoring. Utilize a consistent DevOps approach to improve all phases of the process and ensure end-to-end quality across functions. Additionally, DevOps Engineer I knowledge of deployment/configuration management tools like Jenkins, Maven, Puppet, or Ansible. Utilizes version control tools like GIT, Bitbucket, SVN, or CVS. Experienced with network infrastructure, database, cloud and data center operations, and security protocols. Strong knowledge of Linux and/or Windows OS. Understands AWS and other services. Experience with programming and scripting with languages like Python, Perl, Bash, PHP, Java, SQL, or C++. Typically reports to a manager or head of a unit/department. Typically requires a bachelor&#39;s degree. The DevOps Engineer I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a DevOps Engineer I typically requires 0-2 years of related experience.",55754,66434,78164,89936,100654
DevOps Engineer I,"Dallas, TX","DevOps Engineer I design, build and maintain a stable and efficient infrastructure to optimize service delivery across production, QA, and development environments throughout the development lifecycle. Monitor, troubleshoot, maintain, and continuously improve building, packaging, and deployment processes. Being a DevOps Engineer I implement automated infrastructure capabilities like backups, security tools, monitoring. Utilize a consistent DevOps approach to improve all phases of the process and ensure end-to-end quality across functions. Additionally, DevOps Engineer I knowledge of deployment/configuration management tools like Jenkins, Maven, Puppet, or Ansible. Utilizes version control tools like GIT, Bitbucket, SVN, or CVS. Experienced with network infrastructure, database, cloud and data center operations, and security protocols. Strong knowledge of Linux and/or Windows OS. Understands AWS and other services. Experience with programming and scripting with languages like Python, Perl, Bash, PHP, Java, SQL, or C++. Typically reports to a manager or head of a unit/department. Typically requires a bachelor&#39;s degree. The DevOps Engineer I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a DevOps Engineer I typically requires 0-2 years of related experience.",51329,61160,71959,82797,92664
DevOps Engineer I,"San Jose, CA","DevOps Engineer I design, build and maintain a stable and efficient infrastructure to optimize service delivery across production, QA, and development environments throughout the development lifecycle. Monitor, troubleshoot, maintain, and continuously improve building, packaging, and deployment processes. Being a DevOps Engineer I implement automated infrastructure capabilities like backups, security tools, monitoring. Utilize a consistent DevOps approach to improve all phases of the process and ensure end-to-end quality across functions. Additionally, DevOps Engineer I knowledge of deployment/configuration management tools like Jenkins, Maven, Puppet, or Ansible. Utilizes version control tools like GIT, Bitbucket, SVN, or CVS. Experienced with network infrastructure, database, cloud and data center operations, and security protocols. Strong knowledge of Linux and/or Windows OS. Understands AWS and other services. Experience with programming and scripting with languages like Python, Perl, Bash, PHP, Java, SQL, or C++. Typically reports to a manager or head of a unit/department. Typically requires a bachelor&#39;s degree. The DevOps Engineer I work is closely managed. Works on projects/matters of limited complexity in a support role. To be a DevOps Engineer I typically requires 0-2 years of related experience.",64839,77258,90900,104590,117055
